account_id,customer_id,account_type,base_currency,opened_date,status
1,653,Brokerage,USD,2018-05-02 00:00:00,Restricted
2,282,Brokerage,USD,2016-01-14 00:00:00,Closed
3,399,Trust,USD,2025-04-07 00:00:00,Active
4,47,Retirement,GBP,2025-02-26 00:00:00,Active
5,658,Advisory,EUR,2017-03-20 00:00:00,Active
6,981,Brokerage,USD,2026-03-24 00:00:00,Active
7,380,Brokerage,USD,2024-08-09 00:00:00,Active
8,996,Retirement,USD,2025-04-24 00:00:00,Closed
9,744,Brokerage,EUR,2025-08-08 00:00:00,Active
10,411,Retirement,USD,2025-08-25 00:00:00,Active
11,752,Brokerage,GBP,2020-10-17 00:00:00,Active
12,346,Brokerage,USD,2024-04-28 00:00:00,Active
13,727,Retirement,USD,2022-03-02 00:00:00,Active
14,287,Trust,CAD,2020-01-15 00:00:00,Restricted
15,66,Trust,USD,2022-10-14 00:00:00,Active
16,365,Brokerage,USD,2023-11-19 00:00:00,Active
17,304,Retirement,USD,2026-02-17 00:00:00,Active
18,249,Retirement,EUR,2017-12-01 00:00:00,Active
19,339,Brokerage,GBP,2021-03-15 00:00:00,Active
20,863,Trust,EUR,2018-12-14 00:00:00,Active
21,309,Brokerage,EUR,2019-08-31 00:00:00,Active
22,695,Retirement,GBP,2021-04-21 00:00:00,Active
23,764,Brokerage,CAD,2026-03-14 00:00:00,Active
24,303,Brokerage,USD,2016-04-16 00:00:00,Active
25,317,Brokerage,EUR,2023-07-18 00:00:00,Active
26,768,Brokerage,CAD,2017-02-13 00:00:00,Active
27,274,Advisory,GBP,2016-08-18 00:00:00,Active
28,862,Brokerage,CAD,2023-11-29 00:00:00,Active
29,784,Retirement,USD,2021-10-27 00:00:00,Active
30,488,Brokerage,USD,2017-04-02 00:00:00,Active
31,334,Retirement,EUR,2024-06-25 00:00:00,Active
32,306,Brokerage,CAD,2018-10-21 00:00:00,Active
33,444,Trust,USD,2016-11-24 00:00:00,Closed
34,852,Brokerage,EUR,2022-09-16 00:00:00,Active
35,70,Trust,EUR,2020-12-23 00:00:00,Active
36,961,Brokerage,USD,2025-07-23 00:00:00,Active
37,571,Brokerage,GBP,2023-07-19 00:00:00,Active
38,218,Brokerage,USD,2021-05-02 00:00:00,Active
39,326,Trust,GBP,2023-01-04 00:00:00,Active
40,18,Trust,USD,2019-06-11 00:00:00,Active
41,518,Brokerage,CAD,2016-02-29 00:00:00,Active
42,678,Advisory,GBP,2018-05-22 00:00:00,Active
43,486,Advisory,USD,2016-04-04 00:00:00,Active
44,307,Advisory,GBP,2018-06-29 00:00:00,Active
45,375,Brokerage,EUR,2025-05-22 00:00:00,Active
46,738,Retirement,USD,2020-10-19 00:00:00,Closed
47,834,Brokerage,USD,2026-02-23 00:00:00,Restricted
48,350,Brokerage,EUR,2017-01-01 00:00:00,Active
49,10,Advisory,GBP,2021-05-25 00:00:00,Active
50,970,Retirement,GBP,2024-12-05 00:00:00,Active
51,560,Trust,USD,2018-05-21 00:00:00,Active
52,68,Advisory,USD,2020-04-19 00:00:00,Closed
53,221,Brokerage,GBP,2025-01-23 00:00:00,Active
54,62,Retirement,EUR,2018-10-11 00:00:00,Active
