holding_id,portfolio_id,asset_class,instrument_name,quantity,market_value
1,2469,Equity,V,161,7671.22
2,2064,Cash,CAD Cash,1,141363.53
3,2364,ETF,EWU,618,185851.75
4,1528,Bond,UST 5Y,90,75159.72
5,1457,ETF,XIC,309,43782.1
6,2009,Equity,NVDA,312,129126.39
7,1382,Equity,NESN,185,7397.92
8,2262,Equity,UNH,477,70951.04
9,1717,ETF,QQQ,419,49854.96
10,2137,Equity,V,706,23108.72
11,2333,Bond,Euro Gov Bond,158,42649.23
12,2382,Equity,UNH,905,79601.2
13,190,ETF,EWU,364,83339.28
14,64,Mutual Fund,Euro Equity Fund,1463,172887.29
15,1735,Equity,NESN,109,37208.49
16,863,Equity,AAPL,629,226754.44
17,817,Mutual Fund,Global Growth Fund,360,17100.43
18,1620,Bond,UST 5Y,205,155026.14
19,843,Bond,UST 5Y,263,98377.82
20,282,Bond,UST 5Y,12,12515.46
21,1780,Equity,AAPL,697,166058.87
22,1546,Bond,UK Gilt 2030,291,218880.59
23,1515,ETF,EWU,578,165864.72
24,516,Equity,JPM,891,394884.91
25,1035,Cash,EUR Cash,1,16827.9
26,1394,Equity,JPM,522,73611.44
27,1375,Mutual Fund,Euro Equity Fund,1923,154473.36
28,560,ETF,EWU,877,162383.33
29,1005,Equity,AMZN,430,20992.95
30,378,Mutual Fund,Balanced Income Fund,1821,85352.39
31,1404,Equity,MSFT,587,203507
32,920,Mutual Fund,Euro Equity Fund,1542,71424.15
33,1602,Bond,UST 10Y,193,194233.83
34,92,Equity,V,767,52838.68
35,456,Bond,UST 5Y,81,64863.81
36,1171,Mutual Fund,Balanced Income Fund,2283,189534.84
37,737,ETF,SPY,807,338432.9
38,867,Mutual Fund,Global Growth Fund,931,98410.16
39,55,Equity,NVDA,661,232020.72
40,1417,Mutual Fund,Balanced Income Fund,1625,163542.28
41,1800,Bond,Euro Gov Bond,244,116457.19
42,653,Mutual Fund,Balanced Income Fund,1998,221265.7
43,945,ETF,VGK,251,23193.92
44,1015,Bond,UK Gilt 2030,99,8091.34
45,1670,Bond,Corp Bond B,7,8122.96
46,2121,Bond,Euro Gov Bond,122,103173.97
47,49,Equity,AMZN,727,111259.57
48,286,Equity,V,268,13756.41
49,1953,ETF,SPY,615,265490.2
50,2230,Mutual Fund,Euro Equity Fund,612,23131.56
51,622,Equity,AAPL,271,13876.24
52,167,ETF,VGK,588,117946.2
53,18,Bond,UST 5Y,152,95860.72
54,111,Bond,UK Gilt 2030,291,217263.51
55,1840,Mutual Fund,Euro Equity Fund,202,11368.32
56,129,Bond,Corp Bond A,256,142911.34
57,107,ETF,VTI,452,123984.38
58,2009,Mutual Fund,Global Growth Fund,1750,140540.75
59,2186,Mutual Fund,Global Growth Fund,562,59722.08
60,875,Mutual Fund,US Bluechip Fund,822,82437.62
61,863,Mutual Fund,US Bluechip Fund,47,4105.09
62,80,Equity,NESN,467,42918.23
63,2260,Equity,MSFT,342,144545.79
64,1642,Equity,GOOGL,244,101762.05
65,2352,Bond,UK Gilt 2030,241,272899.93
66,1023,Bond,Corp Bond A,95,98396.36
67,687,Equity,MSFT,705,256179.96
68,2380,Mutual Fund,Balanced Income Fund,1083,40292.52
69,159,Mutual Fund,Global Growth Fund,1555,58985.72
70,1083,ETF,EWU,188,48024.88
71,1287,Cash,CAD Cash,1,63955.89
72,2497,Bond,UST 10Y,57,8406.94
73,39,Mutual Fund,US Bluechip Fund,1434,159413.16
74,2082,Bond,UST 10Y,187,103226.08
75,1385,ETF,EWU,766,222393.15
76,1785,Equity,UNH,112,25245.83
77,1859,Bond,UK Gilt 2030,187,113278.25
78,2222,Bond,UST 5Y,226,73718.36
79,768,Bond,UK Gilt 2030,102,24162.87
80,91,Bond,UST 5Y,125,124892.86
81,1516,ETF,VGK,755,137744.13
82,341,ETF,VGK,175,61776.13
83,1009,ETF,SPY,205,27514.21
84,546,Equity,NESN,407,109483.69
85,1531,ETF,XIC,359,46066.67
86,466,Equity,JPM,573,163224.35
87,1981,Bond,Corp Bond A,122,122794.29
88,129,Bond,UK Gilt 2030,103,83260.31
89,1651,Mutual Fund,Balanced Income Fund,1528,129169.91
90,513,Mutual Fund,US Bluechip Fund,2131,155993.83
91,1170,Mutual Fund,Balanced Income Fund,1855,184353.74
92,1081,Bond,UST 10Y,189,77725.11
93,1396,Cash,GBP Cash,1,124240.19
94,2301,Mutual Fund,Balanced Income Fund,1543,145501.65
95,2460,Equity,AMZN,422,170449.67
96,43,Equity,UNH,293,108457
97,827,Bond,UST 5Y,71,6903.51
98,31,Mutual Fund,Balanced Income Fund,1109,44575.71
99,1569,Bond,Euro Gov Bond,63,18078.79
100,800,Equity,JPM,406,121963.81
101,811,Equity,NVDA,377,9122.39
102,2048,ETF,QQQ,952,205454.93
103,2147,Mutual Fund,Euro Equity Fund,620,7765.19
104,2188,Cash,CAD Cash,1,104765.09
105,1414,Equity,GOOGL,537,218360.02
106,1533,ETF,EWU,335,116367.75
107,1987,Equity,V,151,61240.87
108,1254,Bond,UST 5Y,126,126834.93
109,1502,Mutual Fund,Euro Equity Fund,435,12686
110,1494,Mutual Fund,Global Growth Fund,472,18332.56
