portfolio_id,account_id,portfolio_type,current_value,inception_date
1,240,Equity,205162.57,2017-01-03 00:00:00
2,1377,Fixed Income,660409.07,2020-08-22 00:00:00
3,1349,Hybrid,927397.26,2021-10-04 00:00:00
4,619,Fixed Income,26805.51,2025-01-28 00:00:00
5,107,Equity,199717.05,2025-06-22 00:00:00
6,1033,Hybrid,486529.45,2023-04-18 00:00:00
7,748,Fixed Income,392410.1,2019-02-09 00:00:00
8,1158,Equity,665892.57,2021-06-12 00:00:00
9,800,Equity,433682.52,2020-06-04 00:00:00
10,1333,Fixed Income,181889.27,2023-06-15 00:00:00
11,260,Hybrid,435562.15,2023-08-22 00:00:00
12,278,Fixed Income,60733.3,2018-04-22 00:00:00
13,593,Equity,28958.87,2017-07-22 00:00:00
14,25,Hybrid,145810.25,2023-06-07 00:00:00
15,608,Fixed Income,69948.13,2021-07-13 00:00:00
16,489,Fixed Income,98897.95,2022-06-01 00:00:00
17,686,Hybrid,231431.09,2020-09-20 00:00:00
18,367,Hybrid,316280.22,2017-12-10 00:00:00
19,1313,Hybrid,649622.94,2017-11-23 00:00:00
20,931,Hybrid,86200.7,2022-01-15 00:00:00
21,756,Fixed Income,41649.44,2024-08-10 00:00:00
22,575,Hybrid,319340.57,2020-09-01 00:00:00
23,777,Fixed Income,57045.75,2019-04-19 00:00:00
24,779,Equity,1197628.75,2020-10-10 00:00:00
25,1494,Equity,372548.44,2025-05-23 00:00:00
26,785,Equity,372150.95,2019-08-08 00:00:00
27,433,Equity,161967.75,2019-06-20 00:00:00
28,1031,Equity,34637.31,2025-08-12 00:00:00
29,503,Hybrid,156076.12,2022-04-12 00:00:00
30,559,Hybrid,129712.5,2017-07-24 00:00:00
31,1455,Fixed Income,20119.82,2024-01-10 00:00:00
32,342,Equity,338634.94,2024-08-07 00:00:00
33,1323,Equity,113264.09,2018-11-27 00:00:00
34,1338,Equity,362454,2021-03-07 00:00:00
35,1009,Hybrid,726878.67,2020-08-09 00:00:00
36,851,Fixed Income,193362.3,2019-03-11 00:00:00
37,1368,Fixed Income,254630.76,2024-03-06 00:00:00
38,476,Equity,79431.4,2020-03-13 00:00:00
39,498,Fixed Income,54671.31,2024-05-23 00:00:00
40,563,Goal-Based,319191.37,2020-07-09 00:00:00
41,244,Equity,144870.56,2024-08-19 00:00:00
42,898,Hybrid,487878.64,2017-02-16 00:00:00
43,1091,Fixed Income,255507.92,2017-05-12 00:00:00
44,126,Hybrid,138203.13,2018-01-03 00:00:00
45,36,Fixed Income,38404.01,2021-12-30 00:00:00
46,1451,Hybrid,227268.16,2017-09-21 00:00:00
47,633,Fixed Income,744044.72,2024-10-21 00:00:00
48,1002,Fixed Income,85890.14,2025-11-04 00:00:00
49,370,Hybrid,85209.36,2023-03-01 00:00:00
50,918,Fixed Income,557162.04,2019-10-30 00:00:00
51,1107,Equity,65634.74,2018-03-21 00:00:00
52,1272,Equity,110478.67,2024-03-26 00:00:00
53,517,Equity,181580.68,2021-12-20 00:00:00
54,1090,Fixed Income,116304.4,2017-08-26 00:00:00
