risk_profile_id,customer_id,risk_tolerance,investment_horizon_years,last_review_date
1,1,Moderate,12,2024-01-02 00:00:00
2,2,Moderate,9,2023-09-11 00:00:00
3,3,Moderate,22,2024-07-23 00:00:00
4,4,Moderate,7,2025-10-21 00:00:00
5,5,Conservative,8,2023-03-21 00:00:00
6,6,Aggressive,3,2023-11-21 00:00:00
7,7,Moderate,12,2024-07-31 00:00:00
8,8,Conservative,11,2023-08-28 00:00:00
9,9,Aggressive,18,2025-10-19 00:00:00
10,10,Conservative,16,2023-02-12 00:00:00
11,11,Moderate,22,2024-05-24 00:00:00
12,12,Conservative,10,2025-12-04 00:00:00
13,13,Aggressive,17,2023-11-14 00:00:00
14,14,Conservative,7,2023-03-16 00:00:00
15,15,Conservative,3,2023-05-24 00:00:00
16,16,Conservative,8,2023-05-15 00:00:00
17,17,Conservative,20,2025-03-21 00:00:00
18,18,Aggressive,10,2024-08-13 00:00:00
19,19,Aggressive,15,2024-08-01 00:00:00
20,20,Aggressive,22,2024-01-26 00:00:00
21,21,Aggressive,17,2025-07-31 00:00:00
22,22,Aggressive,8,2026-03-30 00:00:00
23,23,Moderate,8,2026-04-17 00:00:00
24,24,Aggressive,15,2024-12-02 00:00:00
25,25,Moderate,3,2023-10-25 00:00:00
26,26,Conservative,17,2023-10-23 00:00:00
27,27,Aggressive,14,2025-01-30 00:00:00
28,28,Moderate,16,2024-10-12 00:00:00
29,29,Moderate,25,2024-01-15 00:00:00
30,30,Moderate,20,2025-11-02 00:00:00
31,31,Moderate,10,2024-05-09 00:00:00
32,32,Moderate,19,2024-04-05 00:00:00
33,33,Moderate,9,2023-09-16 00:00:00
34,34,Moderate,1,2025-08-05 00:00:00
35,35,Conservative,15,2023-10-15 00:00:00
36,36,Aggressive,16,2025-01-01 00:00:00
37,37,Aggressive,24,2023-05-19 00:00:00
38,38,Moderate,12,2024-11-13 00:00:00
39,39,Moderate,8,2023-02-10 00:00:00
40,40,Aggressive,10,2024-06-17 00:00:00
41,41,Aggressive,6,2025-10-04 00:00:00
42,42,Moderate,25,2023-02-18 00:00:00
43,43,Conservative,9,2025-03-04 00:00:00
44,44,Moderate,5,2024-05-27 00:00:00
45,45,Conservative,19,2024-01-14 00:00:00
46,46,Conservative,16,2024-03-21 00:00:00
47,47,Conservative,9,2023-05-16 00:00:00
48,48,Aggressive,2,2025-03-27 00:00:00
49,49,Conservative,8,2024-12-28 00:00:00
50,50,Conservative,3,2024-03-06 00:00:00
51,51,Aggressive,13,2025-01-22 00:00:00
52,52,Moderate,21,2023-09-23 00:00:00
53,53,Conservative,19,2026-03-06 00:00:00
54,54,Conservative,24,2025-02-01 00:00:00
55,55,Conservative,10,2023-11-14 00:00:00
56,56,Conservative,16,2024-10-05 00:00:00
57,57,Moderate,8,2024-09-14 00:00:00
58,58,Aggressive,1,2023-12-21 00:00:00
59,59,Moderate,15,2026-02-14 00:00:00
60,60,Moderate,7,2024-05-13 00:00:00
61,61,Moderate,24,2024-09-06 00:00:00
62,62,Moderate,15,2025-03-29 00:00:00
63,63,Conservative,9,2025-01-14 00:00:00
64,64,Moderate,18,2025-09-18 00:00:00
65,65,Conservative,1,2024-08-05 00:00:00
66,66,Moderate,3,2023-10-22 00:00:00
67,67,Aggressive,18,2025-06-22 00:00:00
68,68,Moderate,8,2024-12-01 00:00:00
69,69,Conservative,15,2025-03-15 00:00:00
70,70,Moderate,25,2023-12-16 00:00:00
71,71,Moderate,17,2023-03-06 00:00:00
72,72,Moderate,15,2023-05-24 00:00:00
73,73,Moderate,4,2024-08-07 00:00:00
74,74,Moderate,25,2024-07-17 00:00:00
75,75,Conservative,3,2026-02-17 00:00:00
76,76,Moderate,9,2026-05-17 00:00:00
77,77,Conservative,13,2023-12-27 00:00:00
78,78,Moderate,1,2026-01-07 00:00:00
79,79,Conservative,22,2024-07-11 00:00:00
80,80,Aggressive,17,2026-01-10 00:00:00
81,81,Aggressive,20,2025-08-10 00:00:00
82,82,Moderate,15,2023-01-16 00:00:00
83,83,Conservative,3,2024-03-19 00:00:00
84,84,Aggressive,15,2025-08-24 00:00:00
85,85,Moderate,8,2023-10-14 00:00:00
86,86,Conservative,15,2023-04-29 00:00:00
87,87,Conservative,3,2025-06-28 00:00:00
88,88,Moderate,23,2024-10-03 00:00:00
89,89,Moderate,1,2024-10-06 00:00:00
90,90,Aggressive,1,2025-02-11 00:00:00
91,91,Aggressive,9,2023-08-29 00:00:00
92,92,Aggressive,6,2026-03-31 00:00:00
93,93,Moderate,9,2025-03-14 00:00:00
94,94,Aggressive,15,2024-01-20 00:00:00
95,95,Moderate,1,2025-04-30 00:00:00
96,96,Conservative,6,2023-07-12 00:00:00
97,97,Moderate,2,2025-01-05 00:00:00
98,98,Conservative,9,2023-05-28 00:00:00
99,99,Aggressive,13,2023-11-09 00:00:00
100,100,Moderate,20,2025-10-27 00:00:00
101,101,Conservative,9,2024-05-11 00:00:00
102,102,Conservative,16,2023-08-08 00:00:00
103,103,Conservative,10,2025-11-23 00:00:00
104,104,Conservative,6,2023-04-21 00:00:00
105,105,Moderate,6,2025-09-29 00:00:00
106,106,Moderate,6,2024-08-09 00:00:00
107,107,Moderate,17,2024-03-13 00:00:00
108,108,Moderate,9,2024-11-14 00:00:00
109,109,Moderate,7,2024-08-14 00:00:00
110,110,Moderate,14,2025-01-04 00:00:00
111,111,Aggressive,23,2024-10-24 00:00:00
112,112,Conservative,7,2024-11-27 00:00:00
113,113,Moderate,3,2024-12-09 00:00:00
114,114,Moderate,16,2025-07-28 00:00:00
115,115,Conservative,19,2023-10-28 00:00:00
116,116,Aggressive,21,2025-02-13 00:00:00
117,117,Aggressive,6,2025-08-17 00:00:00
118,118,Conservative,16,2024-06-02 00:00:00
119,119,Conservative,20,2025-06-26 00:00:00
120,120,Conservative,3,2025-10-02 00:00:00
121,121,Moderate,17,2024-04-19 00:00:00
122,122,Moderate,2,2025-09-27 00:00:00
123,123,Moderate,6,2025-09-14 00:00:00
124,124,Conservative,22,2026-04-08 00:00:00
125,125,Aggressive,8,2023-08-31 00:00:00
126,126,Moderate,20,2025-02-09 00:00:00
127,127,Moderate,4,2024-09-23 00:00:00
128,128,Aggressive,4,2023-08-30 00:00:00
129,129,Moderate,24,2026-04-27 00:00:00
130,130,Conservative,15,2023-04-02 00:00:00
131,131,Conservative,17,2023-03-15 00:00:00
132,132,Aggressive,24,2023-04-23 00:00:00
133,133,Moderate,7,2025-04-01 00:00:00
134,134,Conservative,12,2024-09-06 00:00:00
135,135,Moderate,19,2025-01-01 00:00:00
136,136,Moderate,15,2026-05-12 00:00:00
137,137,Moderate,21,2025-09-04 00:00:00
138,138,Conservative,6,2024-04-04 00:00:00
139,139,Moderate,10,2025-08-15 00:00:00
140,140,Moderate,19,2026-01-07 00:00:00
141,141,Moderate,19,2023-12-06 00:00:00
142,142,Moderate,3,2025-10-03 00:00:00
143,143,Conservative,7,2023-01-10 00:00:00
144,144,Conservative,14,2026-05-28 00:00:00
145,145,Moderate,21,2024-02-18 00:00:00
146,146,Conservative,2,2023-12-05 00:00:00
147,147,Conservative,20,2024-12-24 00:00:00
148,148,Aggressive,19,2026-01-27 00:00:00
149,149,Aggressive,22,2025-06-29 00:00:00
150,150,Conservative,4,2023-12-14 00:00:00
151,151,Conservative,6,2025-07-20 00:00:00
152,152,Moderate,2,2024-06-01 00:00:00
153,153,Conservative,15,2024-01-31 00:00:00
154,154,Moderate,1,2025-07-21 00:00:00
