transaction_id,account_id,transaction_date,transaction_type,amount
1,217,2023-11-28 00:00:00,Contribution,9789.74
2,147,2022-04-11 00:00:00,Dividend,14011.66
3,999,2025-11-16 00:00:00,Sell,24965.46
4,1313,2024-12-22 00:00:00,Withdrawal,9447.51
5,59,2025-08-13 00:00:00,Contribution,4050.29
6,829,2022-05-03 00:00:00,Contribution,30835.91
7,1097,2025-04-22 00:00:00,Sell,30543.62
8,157,2024-10-29 00:00:00,Sell,6566.19
9,1462,2020-10-16 00:00:00,Contribution,4583.91
10,1040,2022-01-12 00:00:00,Dividend,2933.86
11,339,2022-07-08 00:00:00,Dividend,2941.33
12,1255,2026-01-16 00:00:00,Buy,3034.97
13,311,2026-05-31 00:00:00,Buy,2796.66
14,1198,2021-09-06 00:00:00,Sell,6790.3
15,334,2020-11-19 00:00:00,Buy,1339.32
16,1048,2025-09-13 00:00:00,Buy,9306.62
17,857,2021-06-02 00:00:00,Sell,20029.05
18,645,2023-08-31 00:00:00,Sell,872.55
19,303,2022-12-03 00:00:00,Withdrawal,7786.42
20,937,2021-08-28 00:00:00,Withdrawal,1785.38
21,1341,2021-04-04 00:00:00,Buy,107065.37
22,1192,2023-11-18 00:00:00,Buy,5481.55
23,297,2020-06-07 00:00:00,Contribution,8314.38
24,899,2025-06-11 00:00:00,Contribution,1578.24
25,271,2020-02-26 00:00:00,Withdrawal,5228.22
26,630,2024-11-29 00:00:00,Contribution,3512.79
27,579,2021-10-13 00:00:00,Contribution,4500.67
28,220,2023-09-17 00:00:00,Contribution,6786.15
29,1440,2021-01-04 00:00:00,Buy,2608.87
30,1435,2020-02-11 00:00:00,Withdrawal,16002.04
31,165,2024-10-09 00:00:00,Sell,4265.29
32,556,2021-09-11 00:00:00,Contribution,11433.08
33,487,2025-08-14 00:00:00,Buy,1049.43
34,99,2020-06-02 00:00:00,Rebalance,1873.68
35,1056,2025-10-25 00:00:00,Withdrawal,2326.93
36,767,2020-10-25 00:00:00,Dividend,2630.12
37,155,2025-04-28 00:00:00,Contribution,63962.22
38,385,2022-10-29 00:00:00,Buy,665.01
39,1079,2026-01-30 00:00:00,Buy,3293.39
40,1320,2025-09-21 00:00:00,Dividend,1941.47
41,641,2021-01-18 00:00:00,Contribution,4275.15
42,564,2025-04-07 00:00:00,Sell,4253.57
43,932,2020-12-14 00:00:00,Buy,12980.96
44,595,2026-03-29 00:00:00,Sell,16691.97
45,362,2025-03-18 00:00:00,Withdrawal,42217.7
46,955,2020-08-30 00:00:00,Buy,16116.08
47,725,2022-04-02 00:00:00,Buy,729.44
48,405,2023-11-12 00:00:00,Withdrawal,1858.13
49,1489,2023-03-11 00:00:00,Sell,3069.98
50,109,2021-04-10 00:00:00,Buy,4124.76
51,1357,2024-08-02 00:00:00,Contribution,2310.29
52,86,2025-01-19 00:00:00,Contribution,2437.58
53,1399,2025-09-02 00:00:00,Contribution,8386.95
54,1441,2024-01-04 00:00:00,Sell,5897.54
55,332,2026-01-29 00:00:00,Rebalance,6622.46
56,26,2021-04-30 00:00:00,Sell,7217.22
57,921,2024-01-25 00:00:00,Withdrawal,4897.67
58,988,2021-06-07 00:00:00,Buy,962.13
59,33,2024-06-29 00:00:00,Buy,41133.21
60,499,2021-06-23 00:00:00,Dividend,10033.16
61,1266,2025-12-05 00:00:00,Sell,1729.12
62,1372,2026-03-10 00:00:00,Sell,1863.06
63,329,2022-03-07 00:00:00,Buy,7321.7
64,738,2025-11-28 00:00:00,Dividend,9000
65,621,2026-01-17 00:00:00,Buy,11179.89
66,1396,2021-08-16 00:00:00,Sell,14875.14
67,1150,2026-03-26 00:00:00,Contribution,7054.53
68,448,2022-03-23 00:00:00,Buy,15977.93
69,970,2025-11-07 00:00:00,Buy,3652.7
70,698,2025-12-16 00:00:00,Buy,13498.96
71,72,2021-03-22 00:00:00,Sell,665.66
72,213,2026-03-19 00:00:00,Buy,7076.18
73,69,2025-04-24 00:00:00,Withdrawal,3171.71
74,665,2020-12-08 00:00:00,Withdrawal,1598.34
75,1154,2023-03-05 00:00:00,Dividend,475.37
76,1192,2025-10-02 00:00:00,Buy,4595.2
77,611,2024-02-26 00:00:00,Dividend,5822.44
78,1433,2023-08-30 00:00:00,Dividend,6343.87
